Date,TRDPRC_1
2017-06-06,2864.01
2017-06-07,2670.31
2017-06-08,2777.65
2017-06-09,2818.65
2017-06-10,2829.53
2017-06-11,2947.03
2017-06-12,2665.57
2017-06-13,2710.58
2017-06-14,2472.55
2017-06-15,2415.86
2017-06-16,2504.07
2017-06-17,2663.57
2017-06-18,2513.21
2017-06-19,2593.53
2017-06-20,2781.17
2017-06-21,2634.58
2017-06-22,2723.39
2017-06-23,2730.15
2017-06-24,2608.35
2017-06-25,2514.93
2017-06-26,2432.73
2017-06-27,2467.44
2017-06-28,2611.84
2017-06-29,2576.39
2017-06-30,2496.27
2017-07-01,2413.9
2017-07-02,2540.67
2017-07-03,2597.19
2017-07-04,2598.16
2017-07-05,2628.01
2017-07-06,2608.72
2017-07-07,2512.86
2017-07-08,2548.17
2017-07-09,2538.11
2017-07-10,2341.04
2017-07-11,2347.75
2017-07-12,2380.04
2017-07-13,2352.45
2017-07-14,2196.32
2017-07-15,2031.06
2017-07-16,1893.33
2017-07-17,2169.07
2017-07-18,2361.18
2017-07-19,2284.0
2017-07-20,2742.37
2017-07-21,2644.32
2017-07-22,2835.82
2017-07-23,2775.85
2017-07-24,2756.96
2017-07-25,2584.77
2017-07-26,2494.68
2017-07-27,2675.53
2017-07-28,2799.55
2017-07-29,2741.25
2017-07-30,2757.28
2017-07-31,2881.67
2017-08-01,2741.47
2017-08-02,2683.97
2017-08-03,2801.13
2017-08-04,2861.83
2017-08-05,3237.78
2017-08-06,3269.17
2017-08-07,3375.8
2017-08-08,3442.14
2017-08-09,3360.32
2017-08-10,3436.37
2017-08-11,3619.54
2017-08-12,3819.45
2017-08-13,4114.12
2017-08-14,4290.85
2017-08-15,4133.36
2017-08-16,4335.16
2017-08-17,4321.48
2017-08-18,4057.44
2017-08-19,4116.42
2017-08-20,4134.96
2017-08-21,4021.69
2017-08-22,4094.05
2017-08-23,4100.51
2017-08-24,4234.74
2017-08-25,4339.02
2017-08-26,4345.74
2017-08-27,4362.48
2017-08-28,4385.42
2017-08-29,4624.69
2017-08-30,4576.35
2017-08-31,4734.69
2017-09-01,4862.5
2017-09-02,4452.56
2017-09-03,4612.18
2017-09-04,4370.78
2017-09-05,4408.02
2017-09-06,4602.55
2017-09-07,4629.58
2017-09-08,4182.98
2017-09-09,4281.61
2017-09-10,4256.76
2017-09-11,4201.54
2017-09-12,4203.28
2017-09-13,3890.02
2017-09-14,3308.1
2017-09-15,3811.05
2017-09-16,3720.35
2017-09-17,3719.82
2017-09-18,4076.36
2017-09-19,3914.89
2017-09-20,3953.97
2017-09-21,3646.61
2017-09-22,3624.35
2017-09-23,3739.06
2017-09-24,3672.98
2017-09-25,3958.16
2017-09-26,3927.94
2017-09-27,4210.73
2017-09-28,4199.65
2017-09-29,4191.16
2017-09-30,4336.59
2017-10-01,4361.09
2017-10-02,4383.18
2017-10-03,4276.85
2017-10-04,4217.87
2017-10-05,4334.78
2017-10-06,4345.31
2017-10-07,4351.64
2017-10-08,4590.2
2017-10-09,4811.95
2017-10-10,4837.28
2017-10-11,4805.05
2017-10-12,5289.43
2017-10-13,5593.69
2017-10-14,5726.22
2017-10-15,5567.15
2017-10-16,5712.28
2017-10-17,5578.16
2017-10-18,5501.88
2017-10-19,5708.99
2017-10-20,5961.59
2017-10-21,6046.03
2017-10-22,5893.17
2017-10-23,5889.4
2017-10-24,5472.82
2017-10-25,5669.27
2017-10-26,5824.65
2017-10-27,5747.98
2017-10-28,5728.5
2017-10-29,6181.02
2017-10-30,6100.4
2017-10-31,6386.57
2017-11-01,6662.8
2017-11-02,7018.41
2017-11-03,7167.22
2017-11-04,7384.14
2017-11-05,7347.95
2017-11-06,6986.83
2017-11-07,7076.56
2017-11-08,7382.69
2017-11-09,7112.03
2017-11-10,6695.85
2017-11-11,6322.94
2017-11-12,5699.74
2017-11-13,6450.1
2017-11-14,6573.82
2017-11-15,7253.38
2017-11-16,7782.87
2017-11-17,7774.14
2017-11-18,7821.31
2017-11-19,8022.77
2017-11-20,8271.13
2017-11-21,7998.68
2017-11-22,8261.59
